,0,text,polarity,subjectivity,sentiment,tokenized,nonstop,stemmed
32,"@samsonthemonkey @Kimberlyygore4 @F1 But why would he want to sit in a Williams waiting for a potential shot in a Merc when he could race the Alpha Tauri? Happens all the time in football, young players leave big clubs for a better shot else where",samsonthemonkey kimberlyygore f but why would he want to sit in a williams waiting for a potential shot in a merc when he could race the alpha tauri happens all the time in football young players leave big clubs for a better shot else where,0.15,0.5,positive,"['samsonthemonkey', 'kimberlyygore', 'f', 'but', 'why', 'would', 'he', 'want', 'to', 'sit', 'in', 'a', 'williams', 'waiting', 'for', 'a', 'potential', 'shot', 'in', 'a', 'merc', 'when', 'he', 'could', 'race', 'the', 'alpha', 'tauri', 'happens', 'all', 'the', 'time', 'in', 'football', 'young', 'players', 'leave', 'big', 'clubs', 'for', 'a', 'better', 'shot', 'else', 'where']","['samsonthemonkey', 'kimberlyygore', 'f', 'would', 'want', 'sit', 'williams', 'waiting', 'potential', 'shot', 'merc', 'could', 'race', 'alpha', 'tauri', 'happens', 'time', 'football', 'young', 'players', 'leave', 'big', 'clubs', 'better', 'shot', 'else']","['samsonthemonkey', 'kimberlyygor', 'f', 'would', 'want', 'sit', 'william', 'wait', 'potenti', 'shot', 'merc', 'could', 'race', 'alpha', 'tauri', 'happen', 'time', 'footbal', 'young', 'player', 'leav', 'big', 'club', 'better', 'shot', 'els']"
33,Yes with my Pitlane and Alpha Tauri F1 Car https://t.co/OTNq4ZYaiE,yes with my pitlane and alpha tauri f car httpstcootnqzyaie,0.0,0.0,positive,"['yes', 'with', 'my', 'pitlane', 'and', 'alpha', 'tauri', 'f', 'car', 'httpstcootnqzyaie']","['yes', 'pitlane', 'alpha', 'tauri', 'f', 'car', 'httpstcootnqzyaie']","['ye', 'pitlan', 'alpha', 'tauri', 'f', 'car', 'httpstcootnqzyai']"
34,alpha tauri admin is of the best content creators of f1 https://t.co/N3XF5y6l8A,alpha tauri admin is of the best content creators of f httpstconxfyla,1.0,0.3,positive,"['alpha', 'tauri', 'admin', 'is', 'of', 'the', 'best', 'content', 'creators', 'of', 'f', 'httpstconxfyla']","['alpha', 'tauri', 'admin', 'best', 'content', 'creators', 'f', 'httpstconxfyla']","['alpha', 'tauri', 'admin', 'best', 'content', 'creator', 'f', 'httpstconxfyla']"
35,"Gasly to Alpine
Danny Ric to Haas
Liam Lawson to Alpha Tauri
Mick to Alfa Romeo
De Vries to Williams https://t.co/RyhWFc86Pp","gasly to alpine
danny ric to haas
liam lawson to alpha tauri
mick to alfa romeo
de vries to williams httpstcoryhwfcpp",0.0,0.0,neutral,"['gasly', 'to', 'alpine', 'danny', 'ric', 'to', 'haas', 'liam', 'lawson', 'to', 'alpha', 'tauri', 'mick', 'to', 'alfa', 'romeo', 'de', 'vries', 'to', 'williams', 'httpstcoryhwfcpp']","['gasly', 'alpine', 'danny', 'ric', 'haas', 'liam', 'lawson', 'alpha', 'tauri', 'mick', 'alfa', 'romeo', 'de', 'vries', 'williams', 'httpstcoryhwfcpp']","['gasli', 'alpin', 'danni', 'ric', 'haa', 'liam', 'lawson', 'alpha', 'tauri', 'mick', 'alfa', 'romeo', 'de', 'vri', 'william', 'httpstcoryhwfcpp']"
36,"If Latifi sells his lifetime supply of Red Bull, can he buy a seat on Alpha Tauri or Red Bull Racing? #F1",if latifi sells his lifetime supply of red bull can he buy a seat on alpha tauri or red bull racing f,0.0,0.0,neutral,"['if', 'latifi', 'sells', 'his', 'lifetime', 'supply', 'of', 'red', 'bull', 'can', 'he', 'buy', 'a', 'seat', 'on', 'alpha', 'tauri', 'or', 'red', 'bull', 'racing', 'f']","['latifi', 'sells', 'lifetime', 'supply', 'red', 'bull', 'buy', 'seat', 'alpha', 'tauri', 'red', 'bull', 'racing', 'f']","['latifi', 'sell', 'lifetim', 'suppli', 'red', 'bull', 'buy', 'seat', 'alpha', 'tauri', 'red', 'bull', 'race', 'f']"
37,"@PyrobearOW @F1 If Gasly goes to Alpine then De Vries to Alpha Tauri (I hope), maybe Schumacher to Williams?",pyrobearow f if gasly goes to alpine then de vries to alpha tauri i hope maybe schumacher to williams,0.0,0.0,positive,"['pyrobearow', 'f', 'if', 'gasly', 'goes', 'to', 'alpine', 'then', 'de', 'vries', 'to', 'alpha', 'tauri', 'i', 'hope', 'maybe', 'schumacher', 'to', 'williams']","['pyrobearow', 'f', 'gasly', 'goes', 'alpine', 'de', 'vries', 'alpha', 'tauri', 'hope', 'maybe', 'schumacher', 'williams']","['pyrobearow', 'f', 'gasli', 'goe', 'alpin', 'de', 'vri', 'alpha', 'tauri', 'hope', 'mayb', 'schumach', 'william']"
38,@O_J_S_1 @F1 I thought Nyck is going to Alpha Tauri?,ojs f i thought nyck is going to alpha tauri,0.0,0.0,neutral,"['ojs', 'f', 'i', 'thought', 'nyck', 'is', 'going', 'to', 'alpha', 'tauri']","['ojs', 'f', 'thought', 'nyck', 'going', 'alpha', 'tauri']","['oj', 'f', 'thought', 'nyck', 'go', 'alpha', 'tauri']"
39,@AlphaTauriF1 I always do this at home with my Alpha Tauri F1 car and entire pitlane.,alphataurif i always do this at home with my alpha tauri f car and entire pitlane,0.0,0.625,neutral,"['alphataurif', 'i', 'always', 'do', 'this', 'at', 'home', 'with', 'my', 'alpha', 'tauri', 'f', 'car', 'and', 'entire', 'pitlane']","['alphataurif', 'always', 'home', 'alpha', 'tauri', 'f', 'car', 'entire', 'pitlane']","['alphataurif', 'alway', 'home', 'alpha', 'tauri', 'f', 'car', 'entir', 'pitlan']"
40,"this could work…

Alpine: Gasly - Ocon
Alfa Romeo: Bottas - Zhou
Alpha Tauri: De Vries - Tsunoda
Haas: Magnussen - Schwartzman
Williams: Albon - Ricciardo https://t.co/GlKZSEfvti","this could work…

alpine gasly  ocon
alfa romeo bottas  zhou
alpha tauri de vries  tsunoda
haas magnussen  schwartzman
williams albon  ricciardo httpstcoglkzsefvti",0.0,0.0,neutral,"['this', 'could', 'work', 'alpine', 'gasly', 'ocon', 'alfa', 'romeo', 'bottas', 'zhou', 'alpha', 'tauri', 'de', 'vries', 'tsunoda', 'haas', 'magnussen', 'schwartzman', 'williams', 'albon', 'ricciardo', 'httpstcoglkzsefvti']","['could', 'work', 'alpine', 'gasly', 'ocon', 'alfa', 'romeo', 'bottas', 'zhou', 'alpha', 'tauri', 'de', 'vries', 'tsunoda', 'haas', 'magnussen', 'schwartzman', 'williams', 'albon', 'ricciardo', 'httpstcoglkzsefvti']","['could', 'work', 'alpin', 'gasli', 'ocon', 'alfa', 'romeo', 'botta', 'zhou', 'alpha', 'tauri', 'de', 'vri', 'tsunoda', 'haa', 'magnussen', 'schwartzman', 'william', 'albon', 'ricciardo', 'httpstcoglkzsefvti']"
41,@F1 @AlphaTauriF1 @yukitsunoda07 Breaking news Honda buy Yuki Tsnoda another year at Alpha Tauri F1. https://t.co/RcCGmUZNVe,f alphataurif yukitsunoda breaking news honda buy yuki tsnoda another year at alpha tauri f httpstcorccgmuznve,0.0,0.0,neutral,"['f', 'alphataurif', 'yukitsunoda', 'breaking', 'news', 'honda', 'buy', 'yuki', 'tsnoda', 'another', 'year', 'at', 'alpha', 'tauri', 'f', 'httpstcorccgmuznve']","['f', 'alphataurif', 'yukitsunoda', 'breaking', 'news', 'honda', 'buy', 'yuki', 'tsnoda', 'another', 'year', 'alpha', 'tauri', 'f', 'httpstcorccgmuznve']","['f', 'alphataurif', 'yukitsunoda', 'break', 'news', 'honda', 'buy', 'yuki', 'tsnoda', 'anoth', 'year', 'alpha', 'tauri', 'f', 'httpstcorccgmuznv']"
42,"@F1 Alpine - Gasly 
Alpha Tauri - Lawson 
Haas - Ricciardo 
Williams - Schumacher","f alpine  gasly 
alpha tauri  lawson 
haas  ricciardo 
williams  schumacher",0.0,0.0,neutral,"['f', 'alpine', 'gasly', 'alpha', 'tauri', 'lawson', 'haas', 'ricciardo', 'williams', 'schumacher']","['f', 'alpine', 'gasly', 'alpha', 'tauri', 'lawson', 'haas', 'ricciardo', 'williams', 'schumacher']","['f', 'alpin', 'gasli', 'alpha', 'tauri', 'lawson', 'haa', 'ricciardo', 'william', 'schumach']"
43,"@F1 So i think Gasly is going to Alpine, de Vries to Alpha Tauri. Ricciardo to Alfa or Haas and Mick Schumacher to Williams. The last seat maybe Zhou is staying at Alfa and Ricciardo to Haas.",f so i think gasly is going to alpine de vries to alpha tauri ricciardo to alfa or haas and mick schumacher to williams the last seat maybe zhou is staying at alfa and ricciardo to haas,0.0,0.06666666666666667,neutral,"['f', 'so', 'i', 'think', 'gasly', 'is', 'going', 'to', 'alpine', 'de', 'vries', 'to', 'alpha', 'tauri', 'ricciardo', 'to', 'alfa', 'or', 'haas', 'and', 'mick', 'schumacher', 'to', 'williams', 'the', 'last', 'seat', 'maybe', 'zhou', 'is', 'staying', 'at', 'alfa', 'and', 'ricciardo', 'to', 'haas']","['f', 'think', 'gasly', 'going', 'alpine', 'de', 'vries', 'alpha', 'tauri', 'ricciardo', 'alfa', 'haas', 'mick', 'schumacher', 'williams', 'last', 'seat', 'maybe', 'zhou', 'staying', 'alfa', 'ricciardo', 'haas']","['f', 'think', 'gasli', 'go', 'alpin', 'de', 'vri', 'alpha', 'tauri', 'ricciardo', 'alfa', 'haa', 'mick', 'schumach', 'william', 'last', 'seat', 'mayb', 'zhou', 'stay', 'alfa', 'ricciardo', 'haa']"
44,@F1__PS @formularacers_ Alpha Tauri is full already,fps formularacers alpha tauri is full already,0.35,0.55,neutral,"['fps', 'formularacers', 'alpha', 'tauri', 'is', 'full', 'already']","['fps', 'formularacers', 'alpha', 'tauri', 'full', 'already']","['fp', 'formularac', 'alpha', 'tauri', 'full', 'alreadi']"
45,"Probably for the best. Nice guy but wasn’t at the same level as most of the rest. He’s had a good three years. Will be interesting to now see who gets the vacant Williams seat: Daniel Ricciardo, Mick Schumacher, Logan Sargeant, Nyck de Vries if he doesn’t go to Alpha Tauri.👊🏁🏎 https://t.co/7BM2IJyvMb",probably for the best nice guy but wasn’t at the same level as most of the rest he’s had a good three years will be interesting to now see who gets the vacant williams seat daniel ricciardo mick schumacher logan sargeant nyck de vries if he doesn’t go to alpha tauri👊🏁🏎 httpstcobmijyvmb,0.5499999999999999,0.5041666666666668,positive,"['probably', 'for', 'the', 'best', 'nice', 'guy', 'but', 'wasn', 't', 'at', 'the', 'same', 'level', 'as', 'most', 'of', 'the', 'rest', 'he', 's', 'had', 'a', 'good', 'three', 'years', 'will', 'be', 'interesting', 'to', 'now', 'see', 'who', 'gets', 'the', 'vacant', 'williams', 'seat', 'daniel', 'ricciardo', 'mick', 'schumacher', 'logan', 'sargeant', 'nyck', 'de', 'vries', 'if', 'he', 'doesn', 't', 'go', 'to', 'alpha', 'tauri', 'httpstcobmijyvmb']","['probably', 'best', 'nice', 'guy', 'level', 'rest', 'good', 'three', 'years', 'interesting', 'see', 'gets', 'vacant', 'williams', 'seat', 'daniel', 'ricciardo', 'mick', 'schumacher', 'logan', 'sargeant', 'nyck', 'de', 'vries', 'go', 'alpha', 'tauri', 'httpstcobmijyvmb']","['probabl', 'best', 'nice', 'guy', 'level', 'rest', 'good', 'three', 'year', 'interest', 'see', 'get', 'vacant', 'william', 'seat', 'daniel', 'ricciardo', 'mick', 'schumach', 'logan', 'sargeant', 'nyck', 'de', 'vri', 'go', 'alpha', 'tauri', 'httpstcobmijyvmb']"
46,@Formula_Nerds @F1 Hope so don’t want him in the alpha tauri,formulanerds f hope so don’t want him in the alpha tauri,0.0,0.0,positive,"['formulanerds', 'f', 'hope', 'so', 'don', 't', 'want', 'him', 'in', 'the', 'alpha', 'tauri']","['formulanerds', 'f', 'hope', 'want', 'alpha', 'tauri']","['formulanerd', 'f', 'hope', 'want', 'alpha', 'tauri']"
47,"@F1 Zhou to Alfa Romeo
Gasly to Alpine
De Vries to Williams
Schumacher to Alpha Tauri
No idea about Haas","f zhou to alfa romeo
gasly to alpine
de vries to williams
schumacher to alpha tauri
no idea about haas",0.0,0.0,negative,"['f', 'zhou', 'to', 'alfa', 'romeo', 'gasly', 'to', 'alpine', 'de', 'vries', 'to', 'williams', 'schumacher', 'to', 'alpha', 'tauri', 'no', 'idea', 'about', 'haas']","['f', 'zhou', 'alfa', 'romeo', 'gasly', 'alpine', 'de', 'vries', 'williams', 'schumacher', 'alpha', 'tauri', 'idea', 'haas']","['f', 'zhou', 'alfa', 'romeo', 'gasli', 'alpin', 'de', 'vri', 'william', 'schumach', 'alpha', 'tauri', 'idea', 'haa']"
48,"@F1 Alfa: Zhou
Alpine: Gasly
Alpha Tauri: De Vries
Williams: Sargeant
Haas: Schumacher","f alfa zhou
alpine gasly
alpha tauri de vries
williams sargeant
haas schumacher",0.0,0.0,neutral,"['f', 'alfa', 'zhou', 'alpine', 'gasly', 'alpha', 'tauri', 'de', 'vries', 'williams', 'sargeant', 'haas', 'schumacher']","['f', 'alfa', 'zhou', 'alpine', 'gasly', 'alpha', 'tauri', 'de', 'vries', 'williams', 'sargeant', 'haas', 'schumacher']","['f', 'alfa', 'zhou', 'alpin', 'gasli', 'alpha', 'tauri', 'de', 'vri', 'william', 'sargeant', 'haa', 'schumach']"
49,"The music for a 2023 seat just got extended a little longer.

Side note, did Gasly get confirmed for Alpha Tauri? I thought he was trying to make a move away from them, with Alpine being the favorite. https://t.co/ZZszFtqePy","the music for a  seat just got extended a little longer

side note did gasly get confirmed for alpha tauri i thought he was trying to make a move away from them with alpine being the favorite httpstcozzszftqepy",0.23750000000000002,0.8333333333333334,positive,"['the', 'music', 'for', 'a', 'seat', 'just', 'got', 'extended', 'a', 'little', 'longer', 'side', 'note', 'did', 'gasly', 'get', 'confirmed', 'for', 'alpha', 'tauri', 'i', 'thought', 'he', 'was', 'trying', 'to', 'make', 'a', 'move', 'away', 'from', 'them', 'with', 'alpine', 'being', 'the', 'favorite', 'httpstcozzszftqepy']","['music', 'seat', 'got', 'extended', 'little', 'longer', 'side', 'note', 'gasly', 'get', 'confirmed', 'alpha', 'tauri', 'thought', 'trying', 'make', 'move', 'away', 'alpine', 'favorite', 'httpstcozzszftqepy']","['music', 'seat', 'got', 'extend', 'littl', 'longer', 'side', 'note', 'gasli', 'get', 'confirm', 'alpha', 'tauri', 'thought', 'tri', 'make', 'move', 'away', 'alpin', 'favorit', 'httpstcozzszftqepi']"
50,"Live #F1 News - Williams announce Nicholas Latifi departure after teammate Nyck de Vries’ stunning debut performance – but they may have lost the Dutchman to Alpha Tauri, with US driver Logan Sargent in the frame https://t.co/1xVMOSWkIh",live f news  williams announce nicholas latifi departure after teammate nyck de vries’ stunning debut performance – but they may have lost the dutchman to alpha tauri with us driver logan sargent in the frame httpstcoxvmoswkih,0.3181818181818182,0.75,negative,"['live', 'f', 'news', 'williams', 'announce', 'nicholas', 'latifi', 'departure', 'after', 'teammate', 'nyck', 'de', 'vries', 'stunning', 'debut', 'performance', 'but', 'they', 'may', 'have', 'lost', 'the', 'dutchman', 'to', 'alpha', 'tauri', 'with', 'us', 'driver', 'logan', 'sargent', 'in', 'the', 'frame', 'httpstcoxvmoswkih']","['live', 'f', 'news', 'williams', 'announce', 'nicholas', 'latifi', 'departure', 'teammate', 'nyck', 'de', 'vries', 'stunning', 'debut', 'performance', 'may', 'lost', 'dutchman', 'alpha', 'tauri', 'us', 'driver', 'logan', 'sargent', 'frame', 'httpstcoxvmoswkih']","['live', 'f', 'news', 'william', 'announc', 'nichola', 'latifi', 'departur', 'teammat', 'nyck', 'de', 'vri', 'stun', 'debut', 'perform', 'may', 'lost', 'dutchman', 'alpha', 'tauri', 'us', 'driver', 'logan', 'sargent', 'frame', 'httpstcoxvmoswkih']"
51,"Sometimes we still think about the Toro Rosso livery 🥺

Which one do you prefer? Alpha Tauri or Toro Rosso? 👀

#F1 #RaceCrate https://t.co/uokn6TuUIe","sometimes we still think about the toro rosso livery 🥺

which one do you prefer alpha tauri or toro rosso 👀

f racecrate httpstcouokntuuie",0.0,0.0,neutral,"['sometimes', 'we', 'still', 'think', 'about', 'the', 'toro', 'rosso', 'livery', 'which', 'one', 'do', 'you', 'prefer', 'alpha', 'tauri', 'or', 'toro', 'rosso', 'f', 'racecrate', 'httpstcouokntuuie']","['sometimes', 'still', 'think', 'toro', 'rosso', 'livery', 'one', 'prefer', 'alpha', 'tauri', 'toro', 'rosso', 'f', 'racecrate', 'httpstcouokntuuie']","['sometim', 'still', 'think', 'toro', 'rosso', 'liveri', 'one', 'prefer', 'alpha', 'tauri', 'toro', 'rosso', 'f', 'racecr', 'httpstcouokntuui']"
52,"No Goatifi in 2023.. 

My predictions are still on track. What are your predictions for the F1 seats in F1? 

My predictions: 
Gasly to Alpine
Mick to Williams 
De Vries to Alpha Tauri
Hulkenberg to Haas 
Zhou another year at Alfa Romeo","no goatifi in  

my predictions are still on track what are your predictions for the f seats in f 

my predictions 
gasly to alpine
mick to williams 
de vries to alpha tauri
hulkenberg to haas 
zhou another year at alfa romeo",0.0,0.0,negative,"['no', 'goatifi', 'in', 'my', 'predictions', 'are', 'still', 'on', 'track', 'what', 'are', 'your', 'predictions', 'for', 'the', 'f', 'seats', 'in', 'f', 'my', 'predictions', 'gasly', 'to', 'alpine', 'mick', 'to', 'williams', 'de', 'vries', 'to', 'alpha', 'tauri', 'hulkenberg', 'to', 'haas', 'zhou', 'another', 'year', 'at', 'alfa', 'romeo']","['goatifi', 'predictions', 'still', 'track', 'predictions', 'f', 'seats', 'f', 'predictions', 'gasly', 'alpine', 'mick', 'williams', 'de', 'vries', 'alpha', 'tauri', 'hulkenberg', 'haas', 'zhou', 'another', 'year', 'alfa', 'romeo']","['goatifi', 'predict', 'still', 'track', 'predict', 'f', 'seat', 'f', 'predict', 'gasli', 'alpin', 'mick', 'william', 'de', 'vri', 'alpha', 'tauri', 'hulkenberg', 'haa', 'zhou', 'anoth', 'year', 'alfa', 'romeo']"
53,"@ltd_f1 Indeed imo Nyck will go to Alpha Tauri, and Logan to Williams",ltdf indeed imo nyck will go to alpha tauri and logan to williams,0.0,0.0,neutral,"['ltdf', 'indeed', 'imo', 'nyck', 'will', 'go', 'to', 'alpha', 'tauri', 'and', 'logan', 'to', 'williams']","['ltdf', 'indeed', 'imo', 'nyck', 'go', 'alpha', 'tauri', 'logan', 'williams']","['ltdf', 'inde', 'imo', 'nyck', 'go', 'alpha', 'tauri', 'logan', 'william']"
54,"My colleague and I filled out the open F1 seats for next season:

Alpine - Pierre Gasly
Alpha Tauri - Nyck DeVries
Haas - Nico Hulkenberg
Williams - Daniel Ricciardo

Thoughts?","my colleague and i filled out the open f seats for next season

alpine  pierre gasly
alpha tauri  nyck devries
haas  nico hulkenberg
williams  daniel ricciardo

thoughts",0.13333333333333333,0.4666666666666666,neutral,"['my', 'colleague', 'and', 'i', 'filled', 'out', 'the', 'open', 'f', 'seats', 'for', 'next', 'season', 'alpine', 'pierre', 'gasly', 'alpha', 'tauri', 'nyck', 'devries', 'haas', 'nico', 'hulkenberg', 'williams', 'daniel', 'ricciardo', 'thoughts']","['colleague', 'filled', 'open', 'f', 'seats', 'next', 'season', 'alpine', 'pierre', 'gasly', 'alpha', 'tauri', 'nyck', 'devries', 'haas', 'nico', 'hulkenberg', 'williams', 'daniel', 'ricciardo', 'thoughts']","['colleagu', 'fill', 'open', 'f', 'seat', 'next', 'season', 'alpin', 'pierr', 'gasli', 'alpha', 'tauri', 'nyck', 'devri', 'haa', 'nico', 'hulkenberg', 'william', 'daniel', 'ricciardo', 'thought']"
55,@F1 De Vries will have to choose between Williams and Renault/Alpha Tauri.,f de vries will have to choose between williams and renaultalpha tauri,0.0,0.0,neutral,"['f', 'de', 'vries', 'will', 'have', 'to', 'choose', 'between', 'williams', 'and', 'renaultalpha', 'tauri']","['f', 'de', 'vries', 'choose', 'williams', 'renaultalpha', 'tauri']","['f', 'de', 'vri', 'choos', 'william', 'renaultalpha', 'tauri']"
56,@jankor87 @cynicaldzn @F1 Alpha Tauri have Gasly and Tsunoda confirmed for next year so that aint happening,jankor cynicaldzn f alpha tauri have gasly and tsunoda confirmed for next year so that aint happening,0.2,0.5,neutral,"['jankor', 'cynicaldzn', 'f', 'alpha', 'tauri', 'have', 'gasly', 'and', 'tsunoda', 'confirmed', 'for', 'next', 'year', 'so', 'that', 'aint', 'happening']","['jankor', 'cynicaldzn', 'f', 'alpha', 'tauri', 'gasly', 'tsunoda', 'confirmed', 'next', 'year', 'aint', 'happening']","['jankor', 'cynicaldzn', 'f', 'alpha', 'tauri', 'gasli', 'tsunoda', 'confirm', 'next', 'year', 'aint', 'happen']"
57,No surprises here. @nyckdevries to Williams or Alpha Tauri? https://t.co/VHadif4BAd,no surprises here nyckdevries to williams or alpha tauri httpstcovhadifbad,0.0,0.0,negative,"['no', 'surprises', 'here', 'nyckdevries', 'to', 'williams', 'or', 'alpha', 'tauri', 'httpstcovhadifbad']","['surprises', 'nyckdevries', 'williams', 'alpha', 'tauri', 'httpstcovhadifbad']","['surpris', 'nyckdevri', 'william', 'alpha', 'tauri', 'httpstcovhadifbad']"
58,@jankor87 @cynicaldzn @F1 Alpha tauri is full for next year,jankor cynicaldzn f alpha tauri is full for next year,0.175,0.275,neutral,"['jankor', 'cynicaldzn', 'f', 'alpha', 'tauri', 'is', 'full', 'for', 'next', 'year']","['jankor', 'cynicaldzn', 'f', 'alpha', 'tauri', 'full', 'next', 'year']","['jankor', 'cynicaldzn', 'f', 'alpha', 'tauri', 'full', 'next', 'year']"
59,"I’m gonna make a weird prediction with the driver moves I think will happen for F1 2023:

Nyck de Vries -&gt; Alpha Tauri

Pierre Gasly -&gt; Alpine

Ricciardo or Hülkenberg -&gt; Haas

Mick Schumacher -&gt; No idea tbh

Logan Sargeant -&gt; Williams

Nicholas Latifi -&gt; Free agent (CONFIRMED)","i’m gonna make a weird prediction with the driver moves i think will happen for f 

nyck de vries gt alpha tauri

pierre gasly gt alpine

ricciardo or hülkenberg gt haas

mick schumacher gt no idea tbh

logan sargeant gt williams

nicholas latifi gt free agent confirmed",0.10000000000000002,0.9333333333333332,positive,"['i', 'm', 'gonna', 'make', 'a', 'weird', 'prediction', 'with', 'the', 'driver', 'moves', 'i', 'think', 'will', 'happen', 'for', 'f', 'nyck', 'de', 'vries', 'gt', 'alpha', 'tauri', 'pierre', 'gasly', 'gt', 'alpine', 'ricciardo', 'or', 'hülkenberg', 'gt', 'haas', 'mick', 'schumacher', 'gt', 'no', 'idea', 'tbh', 'logan', 'sargeant', 'gt', 'williams', 'nicholas', 'latifi', 'gt', 'free', 'agent', 'confirmed']","['gonna', 'make', 'weird', 'prediction', 'driver', 'moves', 'think', 'happen', 'f', 'nyck', 'de', 'vries', 'gt', 'alpha', 'tauri', 'pierre', 'gasly', 'gt', 'alpine', 'ricciardo', 'hülkenberg', 'gt', 'haas', 'mick', 'schumacher', 'gt', 'idea', 'tbh', 'logan', 'sargeant', 'gt', 'williams', 'nicholas', 'latifi', 'gt', 'free', 'agent', 'confirmed']","['gonna', 'make', 'weird', 'predict', 'driver', 'move', 'think', 'happen', 'f', 'nyck', 'de', 'vri', 'gt', 'alpha', 'tauri', 'pierr', 'gasli', 'gt', 'alpin', 'ricciardo', 'hülkenberg', 'gt', 'haa', 'mick', 'schumach', 'gt', 'idea', 'tbh', 'logan', 'sargeant', 'gt', 'william', 'nichola', 'latifi', 'gt', 'free', 'agent', 'confirm']"
60,"🚨PODCAST🚨

Good Morning folks!

We are back again with another F1 News Roundup!

We discuss:

- Tsunoda stays with Alpha Tauri for 2023
- Alpine Driver Test
- Ricciardo’s F1 options for 2023
- F1 2023 Calendar controversy!

LINK - https://t.co/nNGWg5z61z

#F1 #Podcast #YouTube https://t.co/w5InXJN6ZC","🚨podcast🚨

good morning folks

we are back again with another f news roundup

we discuss

 tsunoda stays with alpha tauri for 
 alpine driver test
 ricciardo’s f options for 
 f  calendar controversy

link  httpstconngwgzz

f podcast youtube httpstcowinxjnzc",0.35,0.30000000000000004,positive,"['', 'podcast', 'good', 'morning', 'folks', 'we', 'are', 'back', 'again', 'with', 'another', 'f', 'news', 'roundup', 'we', 'discuss', 'tsunoda', 'stays', 'with', 'alpha', 'tauri', 'for', 'alpine', 'driver', 'test', 'ricciardo', 's', 'f', 'options', 'for', 'f', 'calendar', 'controversy', 'link', 'httpstconngwgzz', 'f', 'podcast', 'youtube', 'httpstcowinxjnzc']","['', 'podcast', 'good', 'morning', 'folks', 'back', 'another', 'f', 'news', 'roundup', 'discuss', 'tsunoda', 'stays', 'alpha', 'tauri', 'alpine', 'driver', 'test', 'ricciardo', 'f', 'options', 'f', 'calendar', 'controversy', 'link', 'httpstconngwgzz', 'f', 'podcast', 'youtube', 'httpstcowinxjnzc']","['', 'podcast', 'good', 'morn', 'folk', 'back', 'anoth', 'f', 'news', 'roundup', 'discuss', 'tsunoda', 'stay', 'alpha', 'tauri', 'alpin', 'driver', 'test', 'ricciardo', 'f', 'option', 'f', 'calendar', 'controversi', 'link', 'httpstconngwgzz', 'f', 'podcast', 'youtub', 'httpstcowinxjnzc']"
61,"Incase you missed it: Alpha Tauri have confirmed their young Japanese driver, Yuki Tsunoda, will remain with them for 2023 after two good seasons in Formula 1.
#F1 | #AlphaTauri https://t.co/lQpRH12tdC","incase you missed it alpha tauri have confirmed their young japanese driver yuki tsunoda will remain with them for  after two good seasons in formula 
f  alphatauri httpstcolqprhtdc",0.3,0.5,positive,"['incase', 'you', 'missed', 'it', 'alpha', 'tauri', 'have', 'confirmed', 'their', 'young', 'japanese', 'driver', 'yuki', 'tsunoda', 'will', 'remain', 'with', 'them', 'for', 'after', 'two', 'good', 'seasons', 'in', 'formula', 'f', 'alphatauri', 'httpstcolqprhtdc']","['incase', 'missed', 'alpha', 'tauri', 'confirmed', 'young', 'japanese', 'driver', 'yuki', 'tsunoda', 'remain', 'two', 'good', 'seasons', 'formula', 'f', 'alphatauri', 'httpstcolqprhtdc']","['incas', 'miss', 'alpha', 'tauri', 'confirm', 'young', 'japanes', 'driver', 'yuki', 'tsunoda', 'remain', 'two', 'good', 'season', 'formula', 'f', 'alphatauri', 'httpstcolqprhtdc']"
62,"@NicoRS99 @CarlossScience Forgot that Italy is a classic country of motorsport, Ferrari, alfa Romeo, alpha tauri, Minardi, Maserati, etc... Is understable 2 races in Italy...but 3 races in USA, without drive to survive you wouldn't know abaut F1",nicors carlossscience forgot that italy is a classic country of motorsport ferrari alfa romeo alpha tauri minardi maserati etc is understable  races in italybut  races in usa without drive to survive you wouldnt know abaut f,0.16666666666666666,0.16666666666666666,neutral,"['nicors', 'carlossscience', 'forgot', 'that', 'italy', 'is', 'a', 'classic', 'country', 'of', 'motorsport', 'ferrari', 'alfa', 'romeo', 'alpha', 'tauri', 'minardi', 'maserati', 'etc', 'is', 'understable', 'races', 'in', 'italybut', 'races', 'in', 'usa', 'without', 'drive', 'to', 'survive', 'you', 'wouldnt', 'know', 'abaut', 'f']","['nicors', 'carlossscience', 'forgot', 'italy', 'classic', 'country', 'motorsport', 'ferrari', 'alfa', 'romeo', 'alpha', 'tauri', 'minardi', 'maserati', 'etc', 'understable', 'races', 'italybut', 'races', 'usa', 'without', 'drive', 'survive', 'wouldnt', 'know', 'abaut', 'f']","['nicor', 'carlosssci', 'forgot', 'itali', 'classic', 'countri', 'motorsport', 'ferrari', 'alfa', 'romeo', 'alpha', 'tauri', 'minardi', 'maserati', 'etc', 'underst', 'race', 'italybut', 'race', 'usa', 'without', 'drive', 'surviv', 'wouldnt', 'know', 'abaut', 'f']"
